Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
319,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
320,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
321,0.001,0.002,0.001,0.001333333, ,0.001,0,0.001,0.000666667, ,,
322,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
323,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
324,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
325,0.001,0.001,0.002,0.001333333, ,0.001,0,0,0.000333333, ,,
326,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
327,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
328,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
329,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
330,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
331,0.001,0.002,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
332,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
333,0.002,0.006,0.001,0.003, ,0.001,0.001,0.001,0.001, ,,
334,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
335,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
336,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
337,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
338,0.001,0.002,0.002,0.001666667, ,0,0,0.001,0.000333333, ,,
339,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
340,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
341,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
342,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
343,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
344,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
345,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
